name, artist, id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
"Tennessee Orange","Megan Moroney",3fl4zil6HJ0N1FL3YIRwdC,0.38,0.488,-6.637,0.029,0.126,7.23e-06,0.115,0.268,156.031,80
"Ain’t That Some","Morgan Wallen",2YVlDlk2zRceefo6XlC6DX,0.641,0.803,-5.781,0.0286,0.00232,3.86e-06,0.361,0.671,121.086,84
"Everything I Love","Morgan Wallen",03fs6oV5JAlbytRYf3371S,0.568,0.841,-3.802,0.0261,0.00514,0.000503,0.147,0.668,103.983,81
"Low Down","Lil Baby",5m0yZ33oOy0yYBtdTXuxQe,0.962,0.619,-5.562,0.405,0.0354,0,0.083,0.154,127.958,84
"5 Leaf Clover","Luke Combs",2RbIoEQeXBoJzWt09eitEI,0.423,0.58,-4.959,0.0243,0.0554,2.92e-06,0.168,0.336,82.755,77
"Cupid","FIFTY FIFTY",5mg3VB3Qh7jcR5kAAC4DSV,0.774,0.66,-8.2,0.0328,0.662,0,0.4,0.961,120.023,86
"Red Ruby Da Sleeze","Nicki Minaj",4ZYAU4A2YBtlNdqOUtc7T2,0.696,0.733,-6.181,0.256,0.115,0,0.111,0.292,98.355,84
"Bebe Dame","Fuerza Regida",0mzsLrUNazBaRfYZfjmpSV,0.537,0.602,-4.631,0.0458,0.296,0,0.0715,0.753,157.437,88
"I Wrote The Book","Morgan Wallen",7phmBo7bB9I9YifAXqnlqV,0.692,0.808,-3.757,0.0396,0.0834,3.75e-05,0.0913,0.802,143.977,80
"All Of The Girls You Loved Before","Taylor Swift",4P9Q0GojKVXpRTJCaL3kyy,0.718,0.467,-9.66,0.0398,0.707,6.92e-05,0.126,0.396,95.96,91
"Cowgirls (feat. ERNEST)","Morgan Wallen",7fveJ3pk1eSfxBdVkzdXZ0,0.624,0.766,-3.805,0.0359,0.199,8.62e-06,0.156,0.37,172.08,82
"BESO","ROSALÍA",609E1JCInJncactoMmkDon,0.768,0.644,-6.671,0.136,0.736,0.000837,0.173,0.53,95.05,96
"Man Made A Bar (feat. Eric Church)","Morgan Wallen",73zawW1ttszLRgT9By826D,0.498,0.764,-5.006,0.0309,0.123,3.07e-05,0.119,0.489,147.984,82
"Nonsense","Sabrina Carpenter",6dgUya35uo964z7GZXM07g,0.74,0.697,-4.912,0.034,0.0268,0,0.224,0.732,138.992,90
"DOGTOOTH","Tyler, The Creator",0judK8TqYfvwUohBngUxrE,0.706,0.648,-6.348,0.324,0.505,0,0.215,0.802,77.533,83
"Ch y la Pizza","Fuerza Regida",1ySH55O0zbQBR77q8wQEyn,0.661,0.6,-4.495,0.125,0.401,0,0.141,0.848,148.666,86
"Strike (Holster)","Lil Yachty",7iTTWHbr4tAlsRJN4m4bay,0.851,0.642,-5.281,0.216,0.0658,0,0.0713,0.701,143.091,79
"Yandel 150","Yandel",2oiixB9QMIzhWaHGVlQx4g,0.783,0.729,-3.549,0.0691,0.0492,0.000272,0.1,0.58,167.968,92
"Need A Favor","Jelly Roll",5jUOG0aeAofL5u3UWyrtDO,0.504,0.771,-4.231,0.0319,0.0123,1.89e-05,0.078,0.555,157.985,76
"Special (feat. SZA)","Lizzo",0rc1HCVoReqzzXF9jssqZk,0.464,0.724,-5.019,0.0705,0.0188,0,0.679,0.303,82.526,78
"ICU","Coco Jones",58cMDjQSUdWJUgFmHxRhjt,0.584,0.453,-6.682,0.0661,0.753,0,0.111,0.328,124.913,74
"In Ha Mood","Ice Spice",0yUaLqhsVsguBpoOPL4cO7,0.768,0.74,-6.595,0.336,0.696,6.81e-06,0.23,0.532,141.059,85
"PAINTING PICTURES","Superstar Pride",7oLKoGzQVwjZ91AzCn560T,0.956,0.515,-9.962,0.337,0.305,0,0.156,0.69,119.937,86
"ceilings","Lizzy McAlpine",2L9N0zZnd37dwF0clgxMGI,0.516,0.322,-11.762,0.0292,0.473,0.00194,0.215,0.261,148.005,91
"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap",4nrPB8O7Y7wsOCJdgXkthe,0.778,0.632,-5.6,0.0493,0.274,0,0.0915,0.498,122.104,96
"Trance (with Travis Scott & Young Thug)","Metro Boomin",5wG3HvLhF6Y5KTGlK0IW3J,0.571,0.549,-7.38,0.404,0.18,0,0.168,0.447,119.497,90
"NASTY","Russ",0DuylJNqsvjRN9hhWUdeJZ,0.838,0.297,-8.224,0.056,0.0109,4.6e-06,0.109,0.395,83.524,74
"SORRY NOT SORRY","Tyler, The Creator",410ZZP746AQeiywhKvXWCo,0.481,0.797,-4.094,0.201,0.404,0,0.368,0.495,96.237,85
"Peaches","Jack Black",4w9soAM7IrmYDhSXLp14p6,0.698,0.312,-10.9,0.0483,0.797,0,0.1,0.419,92.138,86
"Forever (feat. Fridayy)","Lil Baby",1T4k0sw0HldDg004Kw4Oct,0.462,0.251,-12.072,0.159,0.414,0,0.201,0.137,89.705,78
"CAREFUL","NF",7FET9gtiECWn7llt0sfvtU,0.834,0.834,-4.035,0.0591,0.0671,0,0.373,0.344,130.024,80
"Gold","Dierks Bentley",4iy69rTUn8cAY8Q8q9vfOw,0.674,0.873,-4.256,0.0285,0.0482,0,0.18,0.946,115.01,72
"El Azul","Junior H",1haJsMtoBhHfvuM7XWuT3W,0.558,0.648,-7.081,0.055,0.226,7.76e-06,0.0986,0.844,143.876,94
"Love Again","The Kid LAROI",4sx6NRwL6Ol3V6m9exwGlQ,0.662,0.398,-6.691,0.0275,0.716,0,0.111,0.468,107.001,85
"Human","Cody Johnson",5AihIu9yF3flkw1jFMyfwW,0.4,0.647,-7.279,0.0337,0.176,5.79e-05,0.11,0.274,84.08,75
"I Know","Kanii",2RkMSIqUdveO3p8KVpYBYI,0.65,0.474,-10.902,0.14,0.486,0.000235,0.0729,0.279,134.073,79
"Dawns (feat. Maggie Rogers)","Zach Bryan",42TtHTxWk782ZBiqyOi2d1,0.447,0.441,-7.658,0.0456,0.874,4.36e-05,0.188,0.286,122.811,79
"El Gordo Trae El Mando","Chino Pacas",3kf0WdFOalKWBkCCLJo4mA,0.736,0.8,-5.38,0.0525,0.179,0,0.0498,0.961,140.253,91
"Sunrise","Morgan Wallen",0JtgoDDf0ggWaoXCGhcOoT,0.613,0.765,-5.058,0.0318,0.259,4.28e-06,0.0832,0.343,139.993,81
"Never Felt So Alone","Labrinth",2NbsBSshscKIPRG3kwBbfo,0.436,0.409,-4.438,0.0533,0.499,0.000166,0.38,0.363,98.357,88
"Don't Play With It (feat. Latto & Yung Miami) - Remix","Lola Brooke",7rl489EKnUgITmkBd6P9zi,0.776,0.688,-5.75,0.127,0.00645,0,0.0757,0.43,99.122,68
"Memory Lane","Old Dominion",5kB6WithhB8Iv08EMNmAbt,0.645,0.8,-4.272,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977,78
"What He Didn't Do","Carly Pearce",5OLaVCAM2pqg7X9mAM2W8M,0.628,0.632,-5.932,0.0325,0.257,0,0.288,0.559,137.854,73
"Que Vuelvas","Carin Leon",6Um358vY92UBv5DloTRX9L,0.491,0.643,-4.309,0.0442,0.187,0,0.109,0.779,162.469,91
"WTF (feat. Nicki Minaj)","YoungBoy Never Broke Again",35NkPKSmtu6lCht95nukpr,0.723,0.631,-7.302,0.49,0.1,0,0.289,0.486,159.913,73
"’98 Braves","Morgan Wallen",3oZ6dlSfCE9gZ55MGPJctc,0.488,0.67,-5.759,0.0268,0.0969,0.00022,0.257,0.484,142.139,81
